TrialID,BaselineMeasures,ZeroShot,OneShot,TwoShot,ThreeShot
NCT00302003,"Age, Categorical, Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, ","Age, gender, stage of Hodgkin's lymphoma, histology subtype, presence of bulky disease, B symptoms (fever, night sweats, weight loss), baseline blood counts (hemoglobin, white blood cells, platelets), serum creatinine, glomerular filtration rate (GFR), total bilirubin, alanine aminotransferase (ALT), shortening fraction or ejection fraction (from echocardiogram or MUGA scan), QTc interval from ECG, performance status, presence of extranodal disease, prior treatment history, fertility status, pregnancy test result for females of childbearing potential.","Age, Sex: Female, Male, Race (NIH/OMB), Ethnicity (NIH/OMB), Stage of Hodgkin Lymphoma, Histology of Hodgkin Lymphoma, Baseline Creatinine Clearance or GFR, Total Bilirubin, Alanine Aminotransferase (ALT), Cardiac Function (Shortening Fraction or Ejection Fraction), QTc Interval on ECG, Pregnancy Status","Age, Sex: Female, Male, Race, Ethnicity, Stage of Hodgkin Lymphoma, Histology Type, Baseline Creatinine Clearance or GFR, Total Bilirubin, Alanine Aminotransferase (ALT), Cardiac Function (Shortening Fraction or Ejection Fraction), QTc Interval on ECG, Fertility Status, Contraceptive Use,","Age, Continuous, Sex: Female, Male, Race, Ethnicity, Stage of Hodgkin Lymphoma, Histology Type, Baseline Blood Counts (Hemoglobin, White Blood Cells, Platelets), Liver Function Tests (Alanine Aminotransferase [ALT], Bilirubin), Renal Function (Creatinine Clearance or GFR), Cardiac Function (Ejection Fraction or Shortening Fraction), Presence of B Symptoms (fever, night sweats, weight loss), Bulky Disease Status, Number of Involved Nodal Areas, Baseline Tumor Size"
NCT00688701,"Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Glycosylated Hemoglobin (HbA1c), 2-Hour Postprandial Plasma Glucose (PPG), Body Weight, Fasting Plasma Glucose (FPG), Glucose Excursion, Duration of Diabetes, Body Mass Index (BMI), ","Age, sex, duration of diabetes, baseline HbA1c, fasting plasma glucose (FPG), 2-hour postprandial plasma glucose (PPG), body weight, body mass index (BMI), blood pressure (systolic and diastolic), lipid profile (total cholesterol, LDL cholesterol, HDL cholesterol, triglycerides), renal function tests (serum creatinine, estimated glomerular filtration rate (eGFR)), liver function tests (aspartate aminotransferase (AST), alanine aminotransferase (ALT), alkaline phosphatase, total bilirubin), hemoglobin, hematocrit, white blood cell count, platelet count, history of cardiovascular disease, history of diabetic complications","Age, Sex: Female, Male, Race/Ethnicity, Body Mass Index (BMI), Duration of Diabetes, Baseline Glycosylated Hemoglobin (HbA1c) levels, Fasting Plasma Glucose (FPG), 2-hour Postprandial Plasma Glucose (PPG), Blood Pressure (Systolic and Diastolic), Lipid Profile (Total Cholesterol, LDL-C, HDL-C, Triglycerides), Renal Function Tests (Serum Creatinine, eGFR), Liver Function Tests (AST, ALT, Total Bilirubin), History of Cardiovascular Disease, History of Diabetic Complications","Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, BMI, HbA1c levels, Fasting plasma glucose levels, 2-hour postprandial plasma glucose levels, Body weight, Blood pressure (systolic and diastolic), Lipid profile (total cholesterol, LDL-C, HDL-C, triglycerides), Renal function tests (serum creatinine, eGFR), Liver function tests (AST, ALT, total bilirubin), Hemoglobin levels, Platelet count, Neutrophil count","Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Region of Enrollment, Body Mass Index (BMI), Fasting Plasma Glucose, Glycosylated Hemoglobin (HbA1c), Blood Pressure, Total Cholesterol, LDL Cholesterol, HDL Cholesterol, Triglycerides, Renal Function Tests, Liver Function Tests"
NCT00395512,"Age Continuous, Age, Customized, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Weight, Body Mass Index (BMI), Duration of diabetes, ","Age, sex, body mass index (BMI), duration of diabetes, fasting plasma glucose, glycosylated hemoglobin (HbA1c), fasting C-peptide, systolic blood pressure, diastolic blood pressure, serum creatinine, alanine aminotransferase (ALT), thyroid stimulating hormone (TSH), urine albumin to creatinine ratio, history of antidiabetic therapy use, baseline medication use","Age, Sex: Female, Male, Race/Ethnicity, Body Mass Index (BMI), Glycosylated Hemoglobin (HbA1c), Fasting Plasma Glucose, Duration of Diabetes, Blood Pressure: Systolic, Diastolic, Serum Creatinine, Alanine Aminotransferase (ALT), Fasting C-peptide, Thyroid Stimulating Hormone (TSH), Hemoglobin","Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Body Mass Index (BMI), Body Weight, Duration of Diabetes, Glycosylated Hemoglobin (HbA1c), Fasting Plasma Glucose, Fasting C-peptide, Blood Pressure (Systolic and Diastolic), Serum Creatinine, Alanine Aminotransferase (ALT), Thyroid Stimulating Hormone (TSH)","Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, BMI, Body Weight, Duration of Diabetes, Fasting Plasma Glucose, Fasting C-peptide, HbA1c"
NCT01192139,"Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Race/Ethnicity, Customized, Height, Weight, Body Mass Index, ","Age, sex, BMI, medical history, physical examination findings, ECG results, clinical laboratory determinations, vital signs, history of gastrointestinal disease, history of significant drug allergies, use of prescription drugs, use of over the counter products, use of herbal preparations, participation in other clinical studies","Age, Sex: Female, Male, Body Mass Index (BMI), Race, Ethnicity, Healthy Subject Status, Vital Signs (Blood Pressure, Heart Rate), Electrocardiogram (ECG) Results, Clinical Laboratory Determinations (Hematology, Biochemistry), Medical History","Age, Sex: Female, Male, Body Mass Index (BMI), Race/Ethnicity, Health Status, Smoking Status, Alcohol Consumption","Age, Continuous, Sex: Female, Male, Body Mass Index (BMI), Race/Ethnicity, Region of Enrollment"
NCT00672243,"Age, Categorical, Age, Customized, Sex: Female, Male, Karnofsky Performance Scale (KPS), Received prior bevacizumab, Enzyme-inducing anti-epileptic drug (EIAED) status, ","Age, gender, Karnofsky performance score, diagnosis (primary WHO grade IV malignant glioma, GBM transformation), prior treatment history (surgical resection, external-beam radiation therapy, chemotherapy), interval since last treatment (surgery, radiation, chemotherapy), hematocrit, absolute neutrophil count (ANC), platelets, serum creatinine, serum glutamic oxaloacetic transaminase (SGOT), bilirubin, fasting plasma triglyceride, fasting cholesterol, corticosteroid dose, use of enzyme inducing antiepileptic drugs (EIAED), prior bevacizumab treatment, reproductive status, pregnancy test result (for women of childbearing potential)","Age, Sex: Female, Male, Karnofsky Performance Score, Histologic Type of Glioma, Prior Treatment History (Surgery, Radiation, Chemotherapy), Interval since Last Treatment, Hematocrit, Absolute Neutrophil Count (ANC), Platelets, Serum Creatinine, Serum Glutamic Oxaloacetic Transaminase (SGOT), Bilirubin, Fasting Plasma Triglyceride, Fasting Cholesterol, Use of Corticosteroids, Use of Enzyme Inducing Antiepileptic Drugs (EIAEDs), Prior Bevacizumab Use","Age, Continuous, Sex: Female, Male, Karnofsky Performance Score, Tumor Histology, Prior Treatment History, Medication Use (EIAED status), Hematocrit, Absolute Neutrophil Count (ANC), Platelets, Serum Creatinine, Serum Glutamic Oxaloacetic Transaminase (SGOT), Bilirubin, Fasting Plasma Triglyceride, Fasting Cholesterol","Age, Continuous, Sex: Female, Male, Karnofsky Performance Score, Tumor Histology, Prior Treatment History, Medication Use, Hematocrit, Absolute Neutrophil Count, Platelets, Serum Creatinine, Serum Glutamic Oxaloacetic Transaminase (SGOT), Bilirubin, Fasting Plasma Triglyceride, Fasting Cholesterol"
NCT01619488,"Age, Categorical, Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Region of Enrollment, Weight, ","Age, Gender, BMI, Duration of Obesity, Previous Weight Loss Attempts, Comorbid Conditions (e.g., diabetes, hypertension), Baseline Psychological Assessment Score, Family Support Level, Baseline Physical Activity Level, Dietary Habits","Age, Sex: Female, Male, BMI, Weight, Height, Obesity Duration, Failed Diet Attempts, Psychological Assessment Outcome, Family Support Level","Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Region of Enrollment, Body Mass Index (BMI), Obesity Duration, Previous Weight Loss Attempts, Psychological Evaluation Outcome, Family Support Level, Comorbid Conditions (e.g., Type II Diabetes Mellitus, Hypertension, Dyslipidemia), Baseline Weight, Baseline Height","Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Region of Enrollment, Body Mass Index (BMI), Obesity Duration, Previous Weight Loss Attempts, Psychological Evaluation Outcome, Family Support Level"
NCT00370292,"Age Continuous, Sex: Female, Male, Region of Enrollment, Disease Stages, Eastern Cooperative Oncology Group Performance Status, Histopathological Grade, Previous Anti-Tumor Treatment, Previous Surgery, Race/Ethnicity, Tumor Type, Blood Pressure, Body Surface Area (BSA), Body Temperature, Heart Rate, Height, Weight, ","Age, sex, smoking history, histology of NSCLC, stage of disease, performance status on the ECOG Scale, creatinine clearance, presence of brain metastasis, prior chemotherapy regimens, baseline blood counts (hemoglobin, white blood cells, platelets), baseline levels of biomolecules involved in the gemcitabine mechanism (e.g., dCK, hENT expressions), liver function tests (ALT, AST, bilirubin), presence of third-space fluid collections, cardiac function assessment","Age, Sex: Female, Male, Race (NIH/OMB), ECOG Performance Status, Disease stage (IIIB, IV), Histology (Adenocarcinoma, Squamous cell carcinoma, Other), Smoking status (Never, Former, Current), Number of prior chemotherapy regimens, Creatinine Clearance (CrCl), Presence of brain metastasis","Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, ECOG Performance Status, Disease stage (IIIB, IV), Histology type, Smoking status, Previous treatments, Creatinine Clearance (CrCl), Body Surface Area (BSA)","Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, ECOG Performance Status, Smoking Status, Histology: Adenocarcinoma, Squamous Cell, Other, Stage of Disease: IIIB, IV, Prior Chemotherapy, Creatinine Clearance"
NCT03811093,"Age, Continuous, Sex: Female, Male, Race and Ethnicity Not Collected, Region of Enrollment, Percentage Body Fat, Body Circumference Measurements, Weight of Body Fat, ","Age, sex, body mass index (BMI), waist circumference, hip circumference, waist-to-hip ratio, total body weight, percentage of body fat, history of previous weight loss attempts, baseline physical activity level, dietary habits, presence of comorbid conditions (e.g., diabetes, hypertension), medication use, smoking status, alcohol consumption","Age Continuous, Sex: Female, Male, Body Weight, Height, Body Mass Index (BMI), Body Fat Percentage, Total Body Fat in Pounds, Waist Circumference, Hip Circumference, Total Inches Lost","Age, Sex: Female, Male, Body Weight, Height, Body Mass Index (BMI), Waist Circumference, Hip Circumference, Total Body Fat Percentage, Total Inches Lost","Age, Categorical, Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Region of Enrollment, Body Weight, Height, Body Mass Index (BMI), Body Fat Percentage, Waist Circumference, Hip Circumference, Total Body Water, Lean Body Mass,"
NCT02159703,"Age, Categorical, Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, ","Age, gender, ECOG Performance Status, histologic diagnosis, HPV status, p16 immunohistochemistry result, clinical stage, pathologic T stage, pathologic N stage, presence of lymphovascular invasion, presence of perineural invasion, margin status, smoking history, alcohol consumption, previous treatments for oropharyngeal cancer, baseline toxicity assessment, baseline quality of life assessment","Age, Sex: Female, Male, HPV Status, Smoking History, Alcohol Consumption, Baseline ECOG Performance Status, Tumor Stage, Tumor Grade, Histology Type, Presence of Lymph Node Involvement, Baseline Hemoglobin Level, Baseline White Blood Cell Count","Age, Continuous, Sex: Female, Male, HPV Status, Smoking History, Alcohol Consumption, ECOG Performance Status, Tumor Stage, Pathologic T Category, Pathologic N Category, Baseline Weight, Baseline Height","Age, Continuous, Sex: Female, Male, HPV Status, Smoking History, Alcohol Consumption, ECOG Performance Status, Tumor Stage, Nodal Status, Baseline Weight, Baseline Height"
NCT00989963,"Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Pulmonary Vascular Resistance (PVR), Cardiac Output (CO), Mean Pulmonary Arterial Pressure (mPAP), Six Minute Walk Distance, Borg Dyspnea Score, ","Age, gender, duration of PAH diagnosis, PAH etiology (idiopathic, familial, associated with collagen vascular disease, anorexigen-induced, associated with repaired congenital systemic-to-pulmonary shunts), baseline 6-minute walk test (6MWT) distance, mean Pulmonary Arterial Pressure (PAPm), Pulmonary Capillary Wedge Pressure (PCWP), Pulmonary Vascular Resistance (PVR), right heart cardiac catheterization findings, chest radiograph findings, current PAH medication (ERA and/or PDE-5 inhibitor), time on current PAH medication, World Health Organization (WHO) functional class, body mass index (BMI), smoking status, history of pulmonary embolism or deep venous thrombosis, history of ischemic heart disease, presence of atrial fibrillation, pulmonary function test results (Total Lung Capacity, FEV1/FVC ratio)","Age, Sex: Female, Male, Pulmonary Arterial Hypertension diagnosis type, 6-minute walk test distance, Right Heart Catheterization findings, Pulmonary Arterial Pressure, Pulmonary Capillary Wedge Pressure, Pulmonary Vascular Resistance, Chest radiograph findings, PAH medication history, World Health Organization (WHO) Functional Class, Body Mass Index (BMI), Smoking status","Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, PAH Etiology, 6-minute walk test distance, WHO Functional Class, Pulmonary Vascular Resistance, Mean Pulmonary Arterial Pressure, Cardiac Output, Use of ERA and/or PDE-5 inhibitors, Time since PAH diagnosis, Body Mass Index","Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Region of Enrollment, 6-minute walk test distance, Pulmonary Arterial Pressure (PAP), Pulmonary Vascular Resistance (PVR), Cardiac Output (CO), WHO Functional Class, Use of ERA and/or PDE-5 inhibitors, Baseline medication use, Body Mass Index (BMI), Hemodynamics, Oxygen saturation (SpO2)"
NCT01722643,"Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, HbA1c, ","Age, gender, duration of type 1 diabetes, baseline HbA1c, frequency of daily blood glucose monitoring, insulin regimen (type and doses), body mass index (BMI), socioeconomic status, educational level of parents, presence of diabetes-related complications, executive function scores, delay discounting scores, internet usage patterns, family history of type 1 diabetes","Age, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Duration of Type 1 Diabetes, Baseline HbA1c, Average Blood Glucose Monitoring Frequency, Insulin Delivery Method (Pump vs. Injections), Socioeconomic Status, Education Level of Parents/Guardians, Internet Access Quality","Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Region of Enrollment, Duration of Type 1 Diabetes, Baseline HbA1c, Average Blood Glucose Monitoring Frequency, Executive Function, Delay Discounting, Internet Access, Family Structure, Educational Level of Parents, Previous Diabetes Education, Insulin Delivery Method","Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Region of Enrollment, HbA1c, Duration of Type 1 Diabetes, Daily Self-Monitoring of Blood Glucose Frequency, Executive Function Measures, Delay Discounting Measures, Internet Use and Access, Family Structure, Socioeconomic Status, Education Level of Parents, Diabetes Treatment Satisfaction Questionnaire, Diabetes-related Family Conflict, Baseline Insulin Regimen"
NCT02737501,"Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Race/Ethnicity, Customized, Region of Enrollment, Global Health Status/Quality of Life (QoL), ","Age, sex, smoking history, ECOG performance status, stage of disease, number of prior systemic therapies, presence of brain metastases, ALK rearrangement status, measurable lesion per RECIST v1.1, QT interval, organ function parameters, weight, height, baseline PFS","Age, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), ECOG Performance Status, ALK Rearrangement Status, Stage of Disease, Number of Prior Systemic Therapies, Presence of CNS Metastases, QTc Interval, Baseline Pulmonary Function, Hemoglobin, White Blood Cell Count, Platelets, Serum Creatinine, Liver Function Tests (AST, ALT, Bilirubin)","Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, Eastern Cooperative Oncology Group (ECOG) Performance Status, Number of Prior Treatment Regimens, ALK Rearrangement Status, Tumor Histology, Stage of Disease, Presence of CNS Metastases","Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, ECOG Performance Status, ALK rearrangement status, Number of Prior Systemic Therapies, Presence of CNS Metastases, QTc Interval"
NCT00126737,"Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, BMI at Baseline, Duration of OA, Walking Distance, WOMAC Function, 36 Items Short Form Survey Instrument (SF-36v) Mental Scale, SF-36v Physical Scale, Stair Total (climb, descend), Married, ","Age, gender, body mass index (BMI), diagnosis duration of osteoarthritis, Kellgren and Lawrence grade, American Arthritis Association functional class, baseline pain intensity, WOMAC function score, SF-36 Physical Scale score, SF-36 Mental Scale score, current medication use, comorbid conditions","Age, Sex: Female, Male, Body Mass Index, Waist Circumference, WOMAC Pain Score, WOMAC Function Score, Physical Scale SF-36v, Mental Scale SF-36v, Kellgren and Lawrence Grade, American Arthritis Association Functional Class","Age, Sex: Female, Male, Race/Ethnicity, Body Weight, Body Mass Index (BMI), Waist Circumference, Knee Radiograph Grade, American Arthritis Association Functional Class, WOMAC Pain Score, Physical Activity Level,","Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Weight, Body Mass Index, Knee Pain Scale, WOMAC Pain Score, WOMAC Function Score, Physical Activity Level, SF-36 Physical Function Score, SF-36 Mental Health Score, Kellgren and Lawrence Grade, American Arthritis Association Functional Class"
NCT01322490,"Age, Categorical, Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, Randomization Stratum, ","Age, race, baseline PSA level, Gleason score at diagnosis, number of bone metastases, presence of lymph node metastases, prior treatments for prostate cancer (including types and dates), history of smallpox vaccination, use of GnRH agonists or antagonists, surgical castration status, performance status (e.g., ECOG), hemoglobin level, alkaline phosphatase level, lactate dehydrogenase level, testosterone level, presence of any other significant medical conditions (e.g., cardiovascular disease, diabetes), history of opioid use for cancer-related pain, estimated PSA doubling time.","Age, Continuous, Sex: Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, Height, Body Weight, BMI, Prostate-Specific Antigen (PSA) Level, Gleason Score at Diagnosis, Number of Bone Metastases, Lymph Node Involvement, Prior Treatments for Prostate Cancer, Use of GnRH Agonists or Antagonists, Surgical Castration Status","Age, Continuous, Sex: Male, Race/Ethnicity, Customized, Region of Enrollment, PSA level at baseline, Gleason score at diagnosis, Metastatic sites (Bone, Lymph nodes), Prior treatments for prostate cancer, Use of GnRH agonists or antagonists, Performance status (e.g., ECOG), Hemoglobin level, Alkaline phosphatase level, Lactate dehydrogenase (LDH) level, Testosterone level, Prior smallpox vaccination status","Age, Continuous, Sex: Male, Race/Ethnicity, Customized, Region of Enrollment, Prostate-Specific Antigen (PSA) Level, Gleason Score at Diagnosis, Number of Bone Metastases, Lymph Node Involvement, Prior Prostate Cancer Treatments, Chemotherapy Naïve, Vaccinia Virus Exposure, Use of GnRH Agonists or Antagonists, Performance Status (e.g., ECOG), Hemoglobin, Alkaline Phosphatase, Lactate Dehydrogenase (LDH), Albumin, Testosterone Level, Number of Participants with Visceral Metastases, Number of Participants with Pain Medication Use, Cardiovascular History, Immunological Status, Autoimmune Disease Status"
NCT00799604,"Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, Height, Weight, Screening Blood Pressure, Screening Heart Rate, ","Age, sex, weight, height, body mass index (BMI), history of hypertension, duration of hypertension, current antihypertensive medications, baseline systolic blood pressure (SBP), baseline diastolic blood pressure (DBP), heart rate, type of cardiac surgery planned, renal function (e.g., serum creatinine, estimated glomerular filtration rate (eGFR)), liver function tests (e.g., AST, ALT, bilirubin), lipid profile (e.g., LDL, HDL, total cholesterol, triglycerides), fasting glucose, hemoglobin A1c, smoking status, alcohol use, previous cardiovascular events (e.g., myocardial infarction, stroke), echocardiographic parameters (e.g., left ventricular ejection fraction), presence of diabetes mellitus, presence of chronic kidney disease","Age, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, Baseline Systolic Blood Pressure, Baseline Diastolic Blood Pressure, History of Hypertension, Type of Cardiac Surgery Planned, Previous Cardiac Surgery, Medications for Hypertension, Body Mass Index (BMI), American Society of Anesthesiologists (ASA) Physical Status Classification","Age, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, Baseline Systolic Blood Pressure, Baseline Diastolic Blood Pressure, History of Hypertension, Type of Cardiac Surgery Planned, Previous Cardiac Surgery, Medication Use for Hypertension","Age, Categorical, Age, Continuous, Gender, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, Baseline Systolic Blood Pressure, Baseline Diastolic Blood Pressure"
NCT00877890,"Age, Categorical, Age, Continuous, Sex: Female, Male, Glycosylated hemoglobin (HbA1c), Weight, Background Oral Antidiabetic Agent, ","Age, sex, duration of type 2 diabetes mellitus, baseline HbA1c, body mass index (BMI), fasting plasma glucose, postprandial glucose, lipid profile (total cholesterol, LDL cholesterol, HDL cholesterol, triglycerides), blood pressure, renal function tests (serum creatinine, eGFR), liver function tests (AST, ALT, bilirubin), current antidiabetic medications, history of cardiovascular disease, smoking status, alcohol consumption","Age, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Body Mass Index (BMI), Glycosylated Hemoglobin (HbA1c), Duration of Diabetes, Fasting Serum Glucose, Total Cholesterol, HDL Cholesterol, LDL Cholesterol, Triglycerides, Blood Pressure, Current Medications","Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Body Weight, Body Mass Index (BMI), Glycosylated Hemoglobin (HbA1c), Duration of Diabetes, Fasting Serum Glucose, Total Cholesterol, HDL Cholesterol, LDL Cholesterol, Triglycerides, Blood Pressure, Current Medications, Diet and Exercise Regimen","Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, Body Weight, Body Mass Index (BMI), Glycosylated Hemoglobin (HbA1c), Duration of Diabetes, Fasting Serum Glucose, Current Antidiabetic Medications,"
NCT02926950,"Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Hemoglobin A1c (HbA1c), Systolic Blood Pressure (SBP), ","Age, sex, body mass index (BMI), duration of type 2 diabetes, baseline hemoglobin A1c (HbA1c), fasting plasma glucose (FPG), 2-hour postprandial glucose (PPG), systolic blood pressure (SBP), diastolic blood pressure (DBP), lipid profile (total cholesterol, LDL cholesterol, HDL cholesterol, triglycerides), renal function tests (serum creatinine, eGFR), liver function tests (AST, ALT, total bilirubin), history of cardiovascular disease, current medication use including metformin dose, smoking status, alcohol consumption","Age, Sex: Female, Male, Race/Ethnicity, Body Mass Index (BMI), Hemoglobin A1c, Fasting Plasma Glucose, Systolic Blood Pressure, Diastolic Blood Pressure, Duration of Diabetes, Current Metformin Dose, Education Level, Smoking Status, Cardiovascular Disease History, Renal Function Measures, Liver Function Tests","Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Body mass index (kg/m^2), Hemoglobin A1c (%), Fasting plasma glucose (mg/dL), Duration of Type 2 Diabetes (years), Metformin dose (mg/day), Blood pressure (mmHg), Total cholesterol (mg/dL), LDL cholesterol (mg/dL), HDL cholesterol (mg/dL), Triglycerides (mg/dL), Renal function (eGFR mL/min/1.73m^2), Liver function tests (AST, ALT), History of cardiovascular disease (Yes, No)","Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, BMI (kg/m^2), Duration of T2D (years), HbA1c (%), Fasting Plasma Glucose (mg/dL), Blood Pressure (mmHg), Total Cholesterol (mg/dL), LDL Cholesterol (mg/dL), HDL Cholesterol (mg/dL), Triglycerides (mg/dL), Renal Function (eGFR mL/min/1.73m^2), Liver Function Tests (AST, ALT), History of Cardiovascular Disease, Medication Use (Type and Dose), Metformin Dose (mg/day)"
NCT00902538,"Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Weight, Height, Body Mass Index, Obesity, ","Age, gender, race/ethnicity, body mass index (BMI), history of hypertension, duration of hypertension, previous antihypertensive medication use, mean trough seated systolic blood pressure (SeSBP), mean trough seated diastolic blood pressure (SeDBP), heart rate, renal function tests (serum creatinine, estimated glomerular filtration rate [eGFR]), liver function tests (aspartate aminotransferase [AST], alanine aminotransferase [ALT], gamma-glutamyltransferase [GGT]), serum potassium, serum sodium, fasting blood glucose, lipid profile (total cholesterol, LDL cholesterol, HDL cholesterol, triglycerides)","Age, Sex: Female, Male, Race, Ethnicity, Body Mass Index (BMI), Baseline Blood Pressure (Seated Systolic Blood Pressure and Seated Diastolic Blood Pressure), Heart Rate, History of Antihypertensive Medication Use, Duration of Hypertension, Serum Creatinine, Serum Potassium, Liver Function Tests (AST, ALT, GGT), Previous Cardiovascular Events","Age, Categorical, Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Baseline Seated Systolic Blood Pressure (SeSBP), Baseline Seated Diastolic Blood Pressure (SeDBP), Number of Antihypertensive Medications at Baseline, Region of Enrollment","Age, Categorical, Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Baseline Seated Systolic Blood Pressure (SeSBP), Baseline Seated Diastolic Blood Pressure (SeDBP), Body Mass Index (BMI), Region of Enrollment, History of Antihypertensive Medication Use"
NCT00623194,"Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Age, Height, BMI, Pubertal Status, ","Age, gender, duration of diabetes, baseline HbA1c levels, insulin dose, body mass index (BMI), fasting blood glucose levels, history of severe hypoglycemia events, history of diabetic ketoacidosis, presence of other autoimmune diseases, previous insulin regimen, antibody levels against insulin detemir and insulin aspart before trial start","Age, Sex: Female, Male, Duration of Diabetes, Baseline Insulin Dose, HbA1c, Body Mass Index (BMI), Fasting Blood Glucose, Insulin Antibodies, History of Hypoglycemia Events, Pubertal Status","Age, Categorical, Sex: Female, Male, Race and Ethnicity Not Collected, Region of Enrollment, Diabetes duration, Baseline insulin dose, HbA1c, Body Mass Index (BMI), Pubertal status","Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Duration of Diabetes, Insulin Dose, Body Mass Index (BMI), HbA1c, Fasting C-Peptide Levels"
NCT03980808,"Age, Categorical, Age, Continuous, Sex/Gender, Customized, Race/Ethnicity, Customized, Region of Enrollment, Deaf, Diabetes Diagnosis (Yes), ","Age, Gender, Duration of Diabetes Diagnosis, HbA1c Levels, Body Mass Index (BMI), Education Level, Employment Status, Diabetes Medication Use, Previous Diabetes Education, Health Literacy Level, Frequency of ASL Use, Cardiovascular Risk Factors, Blood Pressure, Lipid Profile, Kidney Function Tests","Age Continuous, Sex: Female, Male, Deafness duration, Diabetes duration, Diabetes type: Type 1, Type 2, HbA1c level, Fasting blood glucose level, Diabetes medication use: Yes, No, History of diabetes education: Yes, No, ASL fluency level","Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Education Level, Employment Status, Marital Status, Diabetes Type, Diabetes Duration, HbA1c, Blood Pressure, BMI (kg/m2), Smoking Status, Alcohol Consumption, Physical Activity Level","Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Ethnicity (NIH/OMB), Education Level, Employment Status, Diabetes Diagnosis: Yes, No, Duration of Diabetes, HbA1c Level, Diabetes Medication Use: Yes, No, Health Literacy Score, Engagement in Diabetes-Related Health Behaviors"
